100;Guasto Generico
101;
102;
103;
104;
105;
106;STEP 2: NO 8V TP101
107;STEP 2: NO 8V TP102
108;STEP 2: NO 8V TP103
109;STEP 2: NO 0V TP107
110;STEP 2: NO 0V TP109
111;STEP 2: NO 0V TP115
112;STEP 2: NO 8V TP116
113;STEP 2: NO 3,3V TP85
114;STEP 2: NO  0,8V TP111
115;STEP 3: NO 8V TP107
116;STEP 3: NO 7,4V TP109
117;STEP 3: NO 7,4V TP115
118;STEP 3: NO 0V TP116
119;STEP 3: NO 5,2V TP110
120;STEP 3: NO 3,3V TP113
121;STEP 3: NO 5,2V TP92
122;STEP 3: NO 0V TP93
123;STEP 3: NO 5,2V TP106
124;STEP 3: NO 3,3V TP112
125;STEP 3: NO 3,3V TP65
126;STEP 3: NO 3,8V TP68
127;STEP 3: NO 0V TP314
128;STEP 3: NO 0V TP66
129;STEP 3: NO 3,3V TP128
130;STEP 3: NO 0V TP124
131;STEP4: NO 3,3V TP314
132;STEP4: NO 3,3V TP124
133;STEP5: NO 3,3V TP124
134;STEP6: NO 24V TP101
135;STEP6: NO 24V TP102
136;STEP6: NO 24V TP103
137;STEP6: NO 24V TP107
138;STEP6:NO 11V TP111
139;STEP7: NO 0V TP332
140;STEP7: NO 1,8V TP144
141;STEP7: NO 0V TP326
142;STEP8: NO 24V TP122
143;STEP8: NO 0V TP122
144;STEP9: NO 0V TP62
145;STEP10: NO24V TP62
146;STEP11: NO 0V TP64
147;STEP12: NO 24V TP64
148;STEP13: NO 0V TP73
149;STEP14: NO 5V TP73
150;STEP15: NO 3V TP315
151;STEP15: NO 3V TP316
152;STEP15: NO 3V TP317
153;STEP15: NO 3V TP318
154;STEP16: NO 5V TP315
155;STEP16: NO 5V TP316
156;STEP16: NO 5V TP317
157;STEP16: NO 5V TP318
158;STEP17: NO 3,3V TP133
159;STEP18: NO 0V TP133
160;STEP19: NO 2,1V TP134
161;STEP20: NO 1,6V TP323
162;STEP20: NO 1,6V TP324
163;STEP20: TP323 DIVERSO DA TP324
164;STEP21: NO 24V TP79
165;STEP22: NO 0V TP79
166;STEP23: NO 12V TP79
167;STEP24: NO 24V TP125
168;STEP25: NO 0V TP125
169;STEP26: NO 12V TP125
170;STEP27: NO 0V TP34
171;STEP28: NO 2,1V TP34
172;STEP29: NO 1,1V TP34
173;STEP30: NO 0V TP34
174;STEP31: TP34 OLTRE 3.9V 
175;STEP31: TP321 OLTRE 4V 
176;STEP32: NO 0,48V TP34 A 4mA
177;STEP32: NO 1,2V TP34 A 10mA
178;STEP32: NO 2,4V TP34 A 20mA
179;STEP33: NO 0V TP35 A 0V
180;STEP33: NO 1,2V TP35 A 2,5V
181;STEP33: NO 2,5V TP35 A 5V
182;STEP34: NO 0V TP34 A 0V
183;STEP34: NO 1,2V TP34 A 5V
184;STEP34: NO 2,48V TP34 A 10V
185;STEP35: NO 0V TP41
186;STEP36: NO 2,1V TP41
187;STEP37: NO 1,1V TP41
188;STEP38: NO 0V TP41
189;STEP39: TP41 OLTRE 3.9V 
190;STEP39: TP321 OLTRE 4V 
191;STEP40: NO 0,48V TP41 A 4mA
192;STEP40: NO 1,2V TP41 A 10mA
193;STEP40: NO 2,4V TP41 A 20mA
194;STEP41: NO 0V TP35 A 0V
195;STEP41: NO 1,2V TP35 A 2,5V
196;STEP41: NO 2,5V TP35 A 5V
197;STEP42: NO 0V TP41 A 0V
198;STEP42: NO 1,2V TP41 A 5V
199;STEP42: NO 2,48V TP41 A 10V
200;TEST BOARD CANBUS FAIL
201;STEP48: CAN1 NON RICEVE
202;STEP48: CAN1 RICEVE CON ERRORI
203;STEP47: CAN2 NON RICEVE
204;STEP47: CAN2 RICEVE CON ERRORI
205;STEP50: CAN3 NON RICEVE
206;STEP50: CAN3 RICEVE CON ERRORI
207;STEP49: CAN4 NON RICEVE
208;STEP49: CAN4 RICEVE CON ERRORI
209;STEP51: UART5 NON RICEVE
210;STEP52: UART2 NON RICEVE
211;STEP53: UART DEBUG NON RICEVE
212;STEP55: RS485 NON TRASMETTE
213;STEP56: RS485 NON RICEVE
214;STEP57: ERRORE I2C RTC
215;STEP58: ERRORE I2C EEPROM
216;STEP61:NO 5V0 TP94
217;STEP61:NO 2V5 TP95
218;STEP62:NO 0V0 TP65
219;STEP62:NO 0V0 TP68
220;TEST43: FDI1 NO SEGNALE TP59
221;TEST44: FDI1 NO SEGNALE TP59
222;TEST45: FDI2 NO SEGNALE TP76
223;TEST46: FDI2 NO SEGNALE TP76
224;STEP59: NO 0V TP144
225;STEP59: NO 3,3V TP332
